상품명,인물,출판사,발행(출시)일자,분야,tags_feature,tags_career
1984년,조지 오웰,문예출판사,19990620,소설,#고전;#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
강의,신영복,돌베개,20041211,인문,#난이도_상;#윤리/사회;#전공서적;#철학/사유,#인문
거의 모든 것의 역사,빌 브라이슨,까치,20031130,과학,#난이도_중;#자연/환경;#철학/사유;#탐구정신,#공통/융합;#자연
괴짜 경제학,스티븐 레빗,웅진지식하우스,20070425,경제/경영,#난이도_상;#전공서적,
그 많던 싱아는 누가 다 먹었을까,박완서,웅진씽크빅,20050914,소설,#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
그리스인 조르바,니코스 카잔차키스,열린책들,20091220,소설,#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
긍정심리학,마틴 셀리그만,물푸레,20091201,인문,#난이도_상;#윤리/사회;#전공서적;#철학/사유,#인문
나르치스와 골드문트,헤르만 헤세,민음사,20020730,소설,#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
동물농장,조지 오웰,민음사,20090107,소설,#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
만들어진 신,리처드 도킨스,김영사,20070720,인문,#난이도_중;#윤리/사회;#철학/사유,#인문
사피엔스,유발 하라리,김영사,20230401,인문,#난이도_중;#윤리/사회;#철학/사유,#인문
생각에 관한 생각,대니얼 카너먼,김영사,20120330,경제/경영,#난이도_중,
시간의 역사,스티븐 호킹,까치,19980515,청소년,#난이도_중,
실천윤리학,피터 싱어,연암서가,20130320,인문,#난이도_중;#윤리/사회;#철학/사유,#인문
왜 나는 너를 사랑하는가,알랭 드 보통,청미래,20130115,소설,#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
이기적 유전자(증보판),리처드 도킨스,을유문화사,20021220,과학,#난이도_중;#자연/환경;#철학/사유;#탐구정신,#공통/융합;#자연
정의란 무엇인가,마이클 샌델,김영사,20101020,인문,#난이도_중;#윤리/사회;#철학/사유,#인문
죽음의 수용소에서,빅터 프랭클,청아출판사,20120115,시/에세이,#난이도_중,
칼의 노래,김훈,문학동네,20120105,소설,#난이도_중;#윤리/사회;#창의/상상;#철학/사유,#사회;#인문
코스모스,칼 세이건,사이언스북스,20100120,과학,#난이도_중;#자연/환경;#철학/사유;#탐구정신,#공통/융합;#자연
